WARD,ALDERMAN,Ward Address,Ward City,Ward State,Ward Zipcode,WARD PHONE,WEBSITE,City Hall Address,City Hall City,City Hall State,City Hall  Zipcode,City Hall Phone,Email,Image
1,JOE MORENO,2058 N WESTERN AVE,CHICAGO,IL,60647,773-278-0101,http://www.cityofchicago.org/city/en/about/wards/01.html,"121 N. La Salle Room 300, Office 5",CHICAGO,IL,60602,312.744.3063,ward01@cityofchicago.org,1-joe-moreno.jpg
2,ROBERT FIORETTI,1419 S STATE ST,CHICAGO,IL,60605,312-263-9273,http://www.cityofchicago.org/city/en/about/wards/02.html,"121 N. La Salle Room 300, Office 2",CHICAGO,IL,60602,312.744.6836,ward02@cityofchicago.org,2-robert-fioretti.jpg
3,PAT DOWELL,5054 S STATE ST,CHICAGO,IL,60609,773-373-9273,http://www.cityofchicago.org/city/en/about/wards/03.html,"121 N. La Salle Room 300, Office 3",CHICAGO,IL,60602,312.744.8734 ,ward03@cityofchicago.org,3-pat-dowell.jpg
4,WILLIAM BURNS,435 E 35TH ST,CHICAGO,IL,60616,773-536-8103,http://www.cityofchicago.org/city/en/about/wards/04.html,121 N. La Salle Room 200,CHICAGO,IL,60602,312.744.2690,ward04@cityofchicago.org,4-william-burns.jpg
5,LESLIE HAIRSTON,2325 E 71ST ST,CHICAGO,IL,60649,773-324-5555,http://www.cityofchicago.org/city/en/about/wards/05.html,121 N. La Salle Room 300,CHICAGO,IL,60602,312.744.6832,LHairston@cityofchicago.org,5-leslie-hairston.jpg
6,RODERICK SAWYER,463 1/2 E 83RD ST,CHICAGO,IL,60619,773-635-0006,http://www.cityofchicago.org/city/en/about/wards/06.html,,,,,,,6-roderick-sawyer.jpg
7,SANDI JACKSON,7123 S EXCHANGE,CHICAGO,IL,60649,773-375-9180,http://www.cityofchicago.org/city/en/about/wards/07.html,"121 N. La Salle Room 207, Office 13",CHICAGO,IL,60602,312.744.6833 ,ward07@cityofchicago.org,7-jackson-sandi.jpg
8,MICHELLE HARRIS,8539 S COTTAGE GROVE AVE,CHICAGO,IL,60619,773-874-3300,http://www.cityofchicago.org/city/en/about/wards/08.html,121 N. La Salle Room 203,CHICAGO,IL,60602,312.744.3075 ,Ward08@cityofchicago.org,8-michelle-harris.jpg
9,ANTHONY BEALE,34 E 112TH PL,CHICAGO,IL,60628,773-785-1100,http://www.cityofchicago.org/city/en/about/wards/09.html,"121 N. La Salle Room 209, Office 13",CHICAGO,IL,60602,312.744.6838,ward09@cityofchicago.org,9-anthony-beale.jpg
10,JOHN POPE,3522 E 106TH ST,CHICAGO,IL,60617,773-721-1999,http://www.cityofchicago.org/city/en/about/wards/10.html,"121 N. La Salle Room 300, Office 19",CHICAGO,IL,60602,312.744.3078,ward10@cityofchicago.org,10-john-pope.jpg
11,JAMES A. BALCER,3659 S HALSTED ST,CHICAGO,IL,60609,773-254-6677,http://www.cityofchicago.org/city/en/about/wards/11.html,"121 N. La Salle Room 203, Office 9",CHICAGO,IL,60602,312.744.6663,james.balcer@cityofchicago.org,11-james-balcer.jpg
12,GEORGE A. CARDENAS,2458 W 38TH ST,CHICAGO,IL,60632,773-523-8250,http://www.cityofchicago.org/city/en/about/wards/12.html,121 N. La Salle Room 203,CHICAGO,IL,60602,312.744.3040,ward12@cityofchicago.org,12-george-cardenas.jpg
13,MARTY QUINN,6500 S PULASKI,CHICAGO,IL,60629,773-581-8000,http://www.cityofchicago.org/city/en/about/wards/13.html,,,,,,,13-marty-quinn.jpg
14,EDWARD M. BURKE,2650 W 51ST ST,CHICAGO,IL,60632,773-471-1414,http://www.cityofchicago.org/city/en/about/wards/14.html,121 N. La Salle Room 302,CHICAGO,IL,60602,312.744.3380 ,eburke@cityofchicago.org,14-edward-burke.jpg
15,TONI FOULKES,3045 W 63RD ST,CHICAGO,IL,60629,773-863-0220,http://www.cityofchicago.org/city/en/about/wards/15.html,"121 N. La Salle Room 300, Office 26",CHICAGO,IL,60602,312.744.6850 ,,15-toni-foulkes.jpg
16,JOANN THOMPSON,5335 S WESTERN BLVD,CHICAGO,IL,60609,773-434-3399,http://www.cityofchicago.org/city/en/about/wards/16.html,"121 N. La Salle Room 300, Office 20",CHICAGO,IL,60602,312.744.3184 ,,16-joann-thompson.jpg
17,LATASHA R. THOMAS,7811 S RACINE AVE,CHICAGO,IL,60620,773-723-0908,http://www.cityofchicago.org/city/en/about/wards/17.html,121 N. La Salle Room 305,CHICAGO,IL,60602,312.744.7738 ,ward17@cityofchicago.org,17-latasha-thomas.jpg
18,LONA LANE,8146 S  KEDZIE AVE,CHICAGO,IL,60652,773-471-1991,http://www.cityofchicago.org/city/en/about/wards/18.html,121 N. La Salle Room 300,CHICAGO,IL,60602,312.744.6856 ,,18-lona-lane.jpg
19,MATTHEW O’SHEA,10400 S WESTERN AVE,CHICAGO,IL,60643,773-238-8766,http://www.cityofchicago.org/city/en/about/wards/19.html,,,,,,,19-matthew-oshea.jpg
20,WILLIE COCHRAN,6357 S COTTAGE GROVE,CHICAGO,IL,60637,773-955-5610,http://www.cityofchicago.org/city/en/about/wards/20.html,"121 N. La Salle Room 300, Office 2",CHICAGO,IL,60602,312.744.6840 ,,20-willie-cochran.jpg
21,"HOWARD BROOKINS, JR.",9612 S HALSTED ST,CHICAGO,IL,60628,773-881-9300,http://www.cityofchicago.org/city/en/about/wards/21.html,"121 N. La Salle Room 300, Office 19",CHICAGO,IL,60602,312.744.4810,ward21@cityofchicago.org,21-howard-brookins.jpg
22,RICARDO MUNOZ,2500 S ST LOUIS AVE,CHICAGO,IL,60623,773-762-1771,http://www.cityofchicago.org/city/en/about/wards/22.html,"121 N. La Salle Room 300, Office 22",CHICAGO,IL,60602,312.744.9491,Ward22@cityofchicago.org,22-ricardo-munoz.jpg
23,MICHAEL R. ZALEWSKI,6247 S ARCHER AVE,CHICAGO,IL,60638,773-582-4444,http://www.cityofchicago.org/city/en/about/wards/23.html,"121 N. La Salle Room 203, Office 6",CHICAGO,IL,60602,312.744.6828,mzalewski@cityofchicago.org,23-michael-zalewski.jpg
24,MICHAEL CHANDLER,1158 S KEELER  AVE,CHICAGO,IL,60624,,http://www.cityofchicago.org/city/en/about/wards/24.html,,,,,,,24-michael-chandler.jpg
25,DANIEL S. SOLIS,2439 S OAKLEY BLVD,CHICAGO,IL,60608,773-523-4100,http://www.cityofchicago.org/city/en/about/wards/25.html,"121 N. La Salle Room 203, Office 14",CHICAGO,IL,60602,312.744.6845 ,daniel.solis@cityofchicago.org,25-daniel-solis.jpg
26,ROBERTO MOLDONADO,2434 W DIVISION ST,CHICAGO,IL,60622,773-395-0143,http://www.cityofchicago.org/city/en/about/wards/26.html,"121 N. La Salle Room 300, Office 13",CHICAGO,IL,60602,312.744.6853,,26-roberto-maldonado.jpg
27,"WALTER BURNETT, JR.",1463 W CHICAGO AVE,CHICAGO,IL,60622,312-432-1995,http://www.cityofchicago.org/city/en/about/wards/27.html,121 N. La Salle Room 300,CHICAGO,IL,60602,312.744.6124,wburnett@cityofchicago.org,27-alderman-burnett.jpg
28,JASON ERVIN,259 N PULASKI RD,CHICAGO,IL,60624,773-533-0900,http://www.cityofchicago.org/city/en/about/wards/28.html,,,,,,,28-jason-ervin.jpg
29,DEBORAH GRAHAM,5755 W DIVISION ST,CHICAGO,IL,60651,773-261-4646,http://www.cityofchicago.org/city/en/about/wards/29.html,121 N. La Salle Room 300,CHICAGO,IL,60602,312.744.3070 ,Ward29@cityofchicago.org,29-deborah-graham.jpg
